STAID,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
01105600,10,11,40,16,21,19,10,21,19,22,6,9,20,30,29,0,22,27,15,20,18,19,11,23,21,7,41,12,31,11,18,14,15,24,12,39,29,18,24,11,21,19,5,18,17,9,5,14,33,30,12
01200000,14,9,33,35,4,21,17,38,18,28,11,9,13,35,26,1,9,18,2,0,0,0,2,19,31,11,46,9,6,0,0,22,3,37,8,41,25,21,43,6,19,40,0,16,18,7,4,9,41,15,3
01200500,18,0,36,32,5,25,22,34,17,26,12,10,14,28,29,0,13,14,6,18,22,2,0,35,30,10,53,8,9,14,21,21,1,34,9,40,23,19,42,13,23,43,0,17,22,12,4,5,29,10,4
01151500,18,21,26,27,7,17,27,20,20,26,6,15,16,28,26,4,18,25,11,13,20,5,11,19,14,7,44,14,24,17,22,21,13,24,7,25,29,16,35,13,24,38,4,14,18,9,5,17,14,27,12
01187300,18,22,34,22,11,31,16,34,26,27,7,11,13,33,24,9,14,16,8,19,19,7,7,30,25,11,36,11,14,15,15,17,3,33,12,25,23,13,33,13,25,28,7,21,22,9,5,10,32,14,11
01208925,0,0,0,30,16,16,17,25,32,36,25,2,27,47,28,1,13,17,2,32,17,9,4,13,13,1,48,13,8,5,14,19,1,43,14,24,37,17,17,14,29,51,2,20,9,6,1,0,0,0,0
01034000,19,25,23,39,19,10,26,19,21,24,6,15,0,0,0,0,0,0,0,0,13,11,7,20,10,9,35,22,20,12,23,8,8,15,7,45,24,21,26,15,21,25,15,6,26,15,7,26,13,18,17
01078000,22,17,25,31,11,18,17,20,22,21,4,20,13,28,21,6,18,17,7,14,28,4,11,15,16,10,45,14,22,15,15,18,4,27,11,37,36,12,29,17,22,39,5,10,27,9,7,25,18,20,13
01104200,25,0,30,12,3,0,13,30,24,31,15,7,29,56,68,0,15,28,0,4,14,0,9,26,27,0,45,1,61,13,8,24,0,36,21,28,23,10,28,0,43,20,0,15,16,0,0,8,47,16,4
01073500,20,14,39,45,4,15,10,34,20,25,4,11,27,44,33,3,22,12,11,6,14,13,0,24,21,4,36,8,26,0,20,25,2,15,16,37,46,14,51,10,29,25,0,6,18,9,3,14,32,12,5
01103500,28,2,33,14,4,4,13,21,30,24,6,6,32,56,60,0,22,27,1,3,16,0,10,23,24,0,40,13,39,4,6,22,0,30,16,33,23,13,39,1,41,25,0,25,15,1,0,10,49,20,10
01076500,17,18,21,29,13,19,27,21,21,21,6,23,15,23,22,4,14,14,9,19,25,9,10,14,15,13,41,15,21,13,15,14,10,23,11,34,24,15,34,18,19,32,18,6,21,14,5,31,22,26,10
01097000,26,5,28,16,4,7,11,20,25,17,7,4,25,42,39,0,21,26,2,4,8,6,0,21,28,6,50,15,32,5,12,24,4,23,12,41,33,26,47,5,40,29,1,20,13,10,0,15,45,21,11
01129200,46,9,21,49,57,26,45,52,6,12,1,4,10,6,15,2,5,2,6,10,10,7,4,6,7,7,43,11,11,4,24,7,20,23,25,30,30,25,58,10,14,39,6,13,13,18,6,37,23,28,7
01109060,19,10,43,16,2,12,15,35,23,39,11,2,21,52,42,0,17,20,10,15,11,3,11,19,22,0,30,13,49,13,9,20,1,24,11,39,37,15,28,6,37,19,0,21,11,4,0,9,42,17,10
01048000,28,19,26,29,23,12,23,31,20,0,0,0,0,0,0,0,0,0,2,15,14,10,9,17,13,7,29,11,20,16,18,14,8,17,13,39,18,20,34,24,22,25,15,13,23,11,7,30,11,18,14
01105730,11,4,33,18,6,16,11,19,22,24,7,11,18,32,36,0,15,22,12,16,10,12,7,30,20,2,41,13,40,12,14,14,15,30,9,37,28,16,20,16,31,23,1,29,19,14,6,16,41,22,12
01184490,15,4,30,32,15,29,0,0,0,0,0,0,0,35,25,3,11,13,8,21,20,12,9,20,29,6,40,10,21,10,16,13,4,28,13,37,32,10,27,13,14,35,4,25,14,14,2,5,23,47,10
01049500,0,0,0,0,0,0,0,47,21,41,15,0,4,72,43,2,16,17,1,21,14,17,9,27,25,2,28,8,32,17,21,14,0,2,0,58,28,19,35,29,21,27,12,0,16,7,0,12,1,10,15
01208990,15,15,43,29,14,21,16,26,26,38,21,8,16,61,28,3,17,13,4,25,20,7,8,12,21,5,38,7,12,20,3,13,4,30,12,23,32,12,19,5,31,46,6,28,15,3,6,9,30,21,13
01117350,0,0,0,0,0,2,8,10,32,33,19,0,25,67,25,6,23,17,12,15,5,3,9,29,24,0,8,6,52,6,8,30,1,28,12,34,39,25,15,23,44,14,0,20,23,7,3,24,36,27,14
01015800,16,16,21,24,20,14,35,22,20,23,3,23,20,20,29,1,7,13,5,11,17,22,6,21,26,8,17,27,18,8,25,12,11,19,6,40,12,21,23,17,25,25,14,16,23,16,22,29,21,19,25
01054000,24,11,22,35,41,6,33,17,24,13,0,4,22,13,21,2,5,10,3,19,11,14,6,16,11,8,63,5,15,4,26,13,15,21,3,49,17,24,45,17,20,41,11,19,19,19,3,33,17,33,9
01162500,27,12,20,35,5,20,17,18,16,28,12,11,19,13,27,3,20,15,8,20,14,19,3,20,25,12,42,11,20,13,16,18,2,25,13,35,22,10,43,21,22,34,2,16,34,6,3,24,42,19,10
01054500,15,24,19,42,36,2,20,20,21,14,3,10,16,20,22,0,9,10,7,18,13,13,8,17,13,11,53,10,20,9,26,14,11,20,6,46,19,28,35,20,26,40,14,12,18,13,6,35,17,24,13
01170000,15,19,35,32,6,23,14,27,10,29,9,10,14,31,28,6,14,17,10,16,30,5,4,30,18,14,40,14,22,6,16,20,6,24,13,31,22,19,36,12,22,40,6,19,14,9,3,21,29,13,11
01055500,23,17,26,39,19,18,19,28,27,26,4,11,11,36,24,6,12,16,3,14,21,6,8,17,16,8,0,0,0,0,0,0,10,19,10,48,32,12,38,26,21,26,12,13,20,10,7,17,16,22,14
01110000,21,5,38,11,8,6,8,12,22,23,10,6,24,54,35,2,17,25,4,10,7,9,0,21,26,2,43,10,32,6,9,25,0,23,11,43,30,29,58,15,35,46,0,15,6,2,2,10,45,19,13
01189995,0,0,61,33,7,27,17,23,28,26,16,8,13,42,37,1,8,18,2,25,11,3,8,37,17,11,41,6,13,10,9,17,1,21,7,25,36,15,30,9,31,49,1,18,15,2,3,5,33,12,7
01175500,0,0,0,0,0,0,0,0,0,36,0,0,0,62,99,0,0,0,0,0,0,0,0,33,10,0,50,158,0,0,0,0,0,0,0,29,87,42,8,94,26,25,15,0,0,0,0,0,35,123,0
01127500,14,5,56,33,23,27,20,25,27,34,16,10,21,39,29,7,13,16,11,30,18,8,14,20,19,2,33,6,25,15,7,12,9,22,18,20,28,13,20,12,20,31,1,14,13,7,3,8,33,15,11
01117468,0,0,0,0,0,9,11,25,28,46,29,0,30,80,19,6,24,22,6,18,7,5,11,21,27,0,26,8,46,9,13,31,5,15,7,24,36,21,13,13,38,13,1,11,18,5,4,15,31,27,8
01073000,16,16,33,38,8,16,11,32,25,29,7,10,20,39,25,3,16,17,10,8,18,13,3,22,22,8,32,17,27,8,14,24,4,18,14,36,35,13,51,17,28,22,5,10,18,10,6,18,22,7,13
01175670,18,13,40,20,7,19,10,19,15,24,9,9,24,41,24,5,19,15,4,19,21,13,3,30,29,7,48,13,17,13,17,23,4,27,8,31,19,16,38,2,27,37,1,19,18,13,3,14,38,22,7
01109000,20,4,39,18,4,15,13,33,26,42,11,4,24,55,43,0,18,17,9,9,8,2,11,19,21,0,23,15,54,16,8,18,0,17,9,26,32,12,24,3,34,29,0,29,14,6,2,8,56,21,13
01096000,19,12,27,37,8,24,11,22,24,21,7,7,20,36,24,2,23,18,7,10,15,20,6,25,23,8,41,22,30,10,21,20,7,23,11,31,32,10,36,12,25,31,5,8,17,6,3,20,36,13,12
01142500,20,23,26,31,20,0,0,20,21,25,2,14,14,35,24,4,25,16,10,19,16,9,11,18,20,6,28,7,18,17,24,17,13,18,5,20,27,18,37,21,22,37,2,26,16,11,6,22,15,32,11
01019000,67,27,9,60,0,0,22,32,24,33,20,39,37,15,8,0,2,0,0,26,26,27,16,0,26,0,37,5,14,25,27,0,0,0,12,42,22,13,37,43,13,15,0,21,28,5,14,16,12,17,0
01188000,12,16,32,37,14,24,12,25,19,19,14,9,11,32,25,7,18,17,8,25,19,15,15,22,37,9,39,16,17,18,16,21,6,35,13,25,23,11,25,17,20,33,4,14,13,8,3,10,26,27,12
01205500,15,1,40,37,4,22,22,38,22,32,13,10,15,41,33,0,11,13,2,21,14,0,0,27,31,6,53,7,8,17,13,16,2,33,7,36,30,16,37,13,24,43,0,15,14,7,5,7,33,20,6
01172500,19,6,32,34,6,18,9,20,20,22,14,6,19,33,35,1,19,19,7,15,15,20,0,22,16,8,45,15,28,8,22,21,3,27,10,36,21,21,30,1,31,50,0,7,25,7,3,21,37,24,5
01127000,20,0,46,26,14,20,13,23,22,41,18,10,29,49,30,0,15,18,5,18,9,3,10,23,23,0,50,4,30,16,6,20,3,14,11,33,33,14,30,5,32,31,0,17,13,5,3,11,39,21,9
01154500,22,28,26,34,23,13,20,20,18,25,4,12,18,24,22,0,17,18,11,17,23,5,11,20,20,5,40,11,22,14,25,18,14,23,6,38,31,16,39,13,20,37,1,11,17,13,3,20,19,23,6
01122000,21,5,42,23,17,20,11,23,22,33,13,7,30,31,27,2,20,15,10,0,0,0,0,0,0,0,37,3,26,18,8,15,3,22,17,30,37,13,27,5,24,29,0,15,11,13,4,11,33,23,9
01196500,12,3,28,19,15,20,12,17,21,35,19,8,18,50,26,2,14,18,6,30,19,11,11,16,25,8,38,7,23,21,14,13,4,34,13,30,42,16,25,16,23,42,5,18,16,6,3,12,21,14,14
01117800,16,2,58,34,16,18,15,29,28,45,22,0,0,68,33,0,26,22,7,15,11,6,15,17,23,0,30,2,40,13,7,14,2,14,10,16,27,11,19,11,38,18,0,12,11,5,3,10,44,15,8
01104500,28,0,28,9,0,0,12,40,27,29,8,8,33,60,72,0,11,27,0,0,5,0,7,25,24,0,49,9,49,9,10,22,1,28,17,30,27,9,26,0,46,26,0,16,17,3,0,6,58,15,6
01053500,30,6,16,38,44,0,39,11,45,14,0,4,18,14,10,0,3,5,0,15,15,14,2,8,10,7,71,2,15,3,24,12,23,22,3,57,19,43,54,17,16,35,10,18,21,17,3,31,13,29,9
01105000,18,1,20,7,4,9,10,13,26,23,6,5,28,46,53,0,21,29,5,5,10,2,8,18,24,1,29,9,44,16,11,24,5,24,10,39,35,15,31,6,42,19,8,22,20,10,2,13,61,21,31
01118500,15,0,45,28,3,7,11,22,26,48,25,0,29,60,29,6,26,18,5,13,4,0,12,23,25,0,17,3,47,11,12,34,1,20,12,27,38,28,23,24,40,15,0,14,22,8,4,7,28,17,3
01177000,13,0,18,16,5,13,17,8,15,28,9,4,12,38,52,0,8,14,1,6,2,5,1,31,29,3,61,28,11,7,15,26,1,19,5,49,28,26,54,16,35,53,0,12,21,12,2,7,50,52,6
01054200,12,13,20,30,18,17,16,20,21,24,8,18,15,28,25,15,19,12,9,17,15,15,12,16,19,11,34,10,19,17,15,10,9,21,12,35,25,25,29,23,24,26,16,14,19,13,7,28,19,18,19
01105500,17,3,27,10,4,8,15,15,23,23,4,3,19,34,39,0,14,22,5,11,5,3,13,29,25,1,46,15,56,26,12,19,4,22,14,34,30,15,28,5,39,21,2,31,24,17,3,15,54,17,21
01099500,26,3,23,3,0,0,10,21,30,25,3,7,25,59,66,0,17,31,0,0,0,0,0,26,27,0,53,22,47,1,10,27,0,25,20,40,36,24,60,3,48,25,0,16,18,8,0,12,31,11,0
01196620,0,0,0,0,0,0,0,0,0,33,15,7,20,71,29,1,10,18,5,36,19,13,16,22,22,5,29,9,16,19,14,18,10,28,15,28,41,16,20,11,27,39,2,14,13,4,2,9,18,15,12
01111300,14,7,47,22,20,22,14,22,29,28,11,11,21,37,32,3,16,23,11,17,20,0,0,0,18,1,35,16,20,19,4,17,5,29,11,27,27,14,22,9,22,27,2,12,10,9,6,16,48,22,10
01052500,18,23,22,28,23,20,29,23,22,15,6,16,23,13,22,16,10,11,14,17,15,14,17,15,14,15,32,21,14,11,19,14,12,20,9,35,20,19,26,19,17,23,9,13,15,23,2,33,19,30,18
01109070,10,12,33,17,8,18,15,28,26,30,11,7,19,36,26,3,15,24,12,14,9,18,0,21,20,2,27,14,41,12,16,14,14,39,16,41,23,12,18,24,21,18,10,16,15,7,4,15,43,19,12
